Year,Month,Day,Time,zones_ct5
2020,12,3,824,26
2020,12,3,827,29
2020,12,3,830,27
2020,12,3,833,28
2020,12,3,836,28
2020,12,3,839,33
2020,12,3,842,29
2020,12,3,845,30
2020,12,3,848,28
2020,12,3,851,26
2020,12,3,854,23
2020,12,3,857,25
2020,12,3,900,21
2020,12,3,903,20
2020,12,3,906,17
2020,12,3,909,17
2020,12,3,912,15
2020,12,3,915,16
2020,12,3,918,16
2020,12,3,921,22
2020,12,3,924,23
2020,12,3,927,19
2020,12,3,930,19
2020,12,3,933,18
2020,12,3,936,19
2020,12,3,939,17
2020,12,3,942,26
2020,12,3,945,24
2020,12,3,948,20
2020,12,3,951,20
2020,12,3,954,20
2020,12,3,957,20
2020,12,3,1000,15
2020,12,3,1003,17
2020,12,3,1006,16
2020,12,3,1009,16
2020,12,3,1012,23
2020,12,3,1015,25
2020,12,3,1018,30
2020,12,3,1021,22
2020,12,3,1024,17
2020,12,3,1027,24
2020,12,3,1030,28
2020,12,3,1033,32
2020,12,3,1036,25
2020,12,3,1039,20
2020,12,3,1042,18
2020,12,3,1045,22
2020,12,3,1048,23
2020,12,3,1051,28
2020,12,3,1054,25
2020,12,3,1057,28
2020,12,3,1100,30
2020,12,3,1103,26
2020,12,3,1106,30
2020,12,3,1109,32
2020,12,3,1112,32
2020,12,3,1115,36
2020,12,3,1118,38
2020,12,3,1121,40
2020,12,3,1124,44
2020,12,3,1127,40
2020,12,3,1130,39
2020,12,3,1133,45
2020,12,3,1136,53
2020,12,3,1139,41
2020,12,3,1142,41
2020,12,3,1145,41
2020,12,3,1148,44
2020,12,3,1151,47
2020,12,3,1154,56
2020,12,3,1157,48
2020,12,3,1200,45
2020,12,3,1203,57
2020,12,3,1206,57
2020,12,3,1209,53
2020,12,3,1212,47
2020,12,3,1215,50
2020,12,3,1218,57
2020,12,3,1221,64
2020,12,3,1224,68
2020,12,3,1227,65
2020,12,3,1230,65
2020,12,3,1233,66
2020,12,3,1236,70
2020,12,3,1239,92
2020,12,3,1242,87
2020,12,3,1245,92
2020,12,3,1248,102
2020,12,3,1251,101
2020,12,3,1254,88
2020,12,3,1257,101
2020,12,3,1300,77
2020,12,3,1303,70
2020,12,3,1306,72
2020,12,3,1309,72
2020,12,3,1312,60
2020,12,3,1315,85
2020,12,3,1318,76
2020,12,3,1321,71
2020,12,3,1324,63
2020,12,3,1327,65
2020,12,3,1330,70
2020,12,3,1333,67
2020,12,3,1336,79
2020,12,3,1339,86
2020,12,3,1342,82
2020,12,3,1345,76
2020,12,3,1348,72
2020,12,3,1351,64
2020,12,3,1354,68
2020,12,3,1357,74
2020,12,3,1400,69
2020,12,3,1403,61
2020,12,3,1406,66
2020,12,3,1409,57
2020,12,3,1412,49
2020,12,3,1415,45
2020,12,3,1418,48
2020,12,3,1421,54
2020,12,3,1424,41
2020,12,3,1427,40
2020,12,3,1430,45
2020,12,3,1433,43
2020,12,3,1436,41
2020,12,3,1439,54
2020,12,3,1442,45
2020,12,3,1445,44
2020,12,3,1448,46
2020,12,3,1451,40
2020,12,3,1454,37
2020,12,3,1457,41
2020,12,3,1500,41
2020,12,3,1503,45
2020,12,3,1506,47
2020,12,3,1509,40
2020,12,3,1512,38
2020,12,3,1515,26
2020,12,3,1518,24
2020,12,3,1521,29
2020,12,3,1524,28
2020,12,3,1527,30
2020,12,3,1530,26
2020,12,3,1533,30
2020,12,3,1536,32
2020,12,3,1539,34
2020,12,3,1542,36
2020,12,3,1545,38
2020,12,3,1548,37
2020,12,3,1551,37
2020,12,3,1554,37
2020,12,3,1557,34
2020,12,3,1600,39
2020,12,3,1603,39
2020,12,3,1606,35
2020,12,3,1609,32
2020,12,3,1612,34
2020,12,3,1615,29
2020,12,3,1618,38
2020,12,3,1621,44
2020,12,3,1624,41
2020,12,3,1627,42
2020,12,3,1630,46
2020,12,3,1633,45
2020,12,3,1636,42
2020,12,3,1639,40
2020,12,3,1642,41
2020,12,3,1645,44
2020,12,3,1648,44
2020,12,3,1651,49
2020,12,3,1654,46
2020,12,3,1657,51
2020,12,3,1700,79
2020,12,3,1703,77
2020,12,3,1706,80
2020,12,3,1709,83
2020,12,3,1712,78
